Breed,Source,Organization,Country,TransboundaryName
German Shorthaired Pointer,https://www.akc.org/dog-breeds/german-shorthaired-pointer/,AKC,USA,German Shorthaired Pointer
German Spitz,https://www.akc.org/dog-breeds/german-spitz/,AKC,USA,German Spitz
German Wirehaired Pointer,https://www.akc.org/dog-breeds/german-wirehaired-pointer/,AKC,USA,German Wirehaired Pointer
Giant Schnauzer,https://www.akc.org/dog-breeds/giant-schnauzer/,AKC,USA,Giant Schnauzer
Glen of Imaal Terrier,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/,AKC,USA,Glen of Imaal Terrier
Golden Retriever,https://www.akc.org/dog-breeds/golden-retriever/,AKC,USA,Golden Retriever
Gordon Setter,https://www.akc.org/dog-breeds/gordon-setter/,AKC,USA,Gordon Setter
Grand Basset Griffon Vendéen,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/,AKC,USA,Grand Basset Griffon Vendéen
Great Dane,https://www.akc.org/dog-breeds/great-dane/,AKC,USA,Great Dane
Great Pyrenees,https://www.akc.org/dog-breeds/great-pyrenees/,AKC,USA,Great Pyrenees
Greater Swiss Mountain Dog,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/,AKC,USA,Greater Swiss Mountain Dog
Greyhound,https://www.akc.org/dog-breeds/greyhound/,AKC,USA,Greyhound
Hamiltonstovare,https://www.akc.org/dog-breeds/hamiltonstovare/,AKC,USA,Hamiltonstovare
Hanoverian Scenthound,https://www.akc.org/dog-breeds/hanoverian-scenthound/,AKC,USA,Hanoverian Scenthound
Harrier,https://www.akc.org/dog-breeds/harrier/,AKC,USA,Harrier
Havanese,https://www.akc.org/dog-breeds/havanese/,AKC,USA,Havanese
Hokkaido,https://www.akc.org/dog-breeds/hokkaido/,AKC,USA,Hokkaido
Hovawart,https://www.akc.org/dog-breeds/hovawart/,AKC,USA,Hovawart
Ibizan Hound,https://www.akc.org/dog-breeds/ibizan-hound/,AKC,USA,Ibizan Hound
Icelandic Sheepdog,https://www.akc.org/dog-breeds/icelandic-sheepdog/,AKC,USA,Icelandic Sheepdog
Irish Red and White Setter,https://www.akc.org/dog-breeds/irish-red-and-white-setter/,AKC,USA,Irish Red and White Setter
Irish Setter,https://www.akc.org/dog-breeds/irish-setter/,AKC,USA,Irish Setter
Irish Terrier,https://www.akc.org/dog-breeds/irish-terrier/,AKC,USA,Irish Terrier
Irish Water Spaniel,https://www.akc.org/dog-breeds/irish-water-spaniel/,AKC,USA,Irish Water Spaniel
Irish Wolfhound,https://www.akc.org/dog-breeds/irish-wolfhound/,AKC,USA,Irish Wolfhound
Italian Greyhound,https://www.akc.org/dog-breeds/italian-greyhound/,AKC,USA,Italian Greyhound
Jagdterrier,https://www.akc.org/dog-breeds/jagdterrier/,AKC,USA,Jagdterrier
Japanese Akitainu,https://www.akc.org/dog-breeds/japanese-akitainu/,AKC,USA,Japanese Akitainu
Japanese Chin,https://www.akc.org/dog-breeds/japanese-chin/,AKC,USA,Japanese Chin
Japanese Spitz,https://www.akc.org/dog-breeds/japanese-spitz/,AKC,USA,Japanese Spitz
Japanese Terrier,https://www.akc.org/dog-breeds/japanese-terrier/,AKC,USA,Japanese Terrier
Jindo,https://www.akc.org/dog-breeds/jindo/,AKC,USA,Jindo
Kai Ken,https://www.akc.org/dog-breeds/kai-ken/,AKC,USA,Kai Ken
Karelian Bear Dog,https://www.akc.org/dog-breeds/karelian-bear-dog/,AKC,USA,Karelian Bear Dog
Keeshond,https://www.akc.org/dog-breeds/keeshond/,AKC,USA,Keeshond
Kerry Blue Terrier,https://www.akc.org/dog-breeds/kerry-blue-terrier/,AKC,USA,Kerry Blue Terrier
Kishu Ken,https://www.akc.org/dog-breeds/kishu-ken/,AKC,USA,Kishu Ken
Komondor,https://www.akc.org/dog-breeds/komondor/,AKC,USA,Komondor
Kromfohrlander,https://www.akc.org/dog-breeds/kromfohrlander/,AKC,USA,Kromfohrlander
Kuvasz,https://www.akc.org/dog-breeds/kuvasz/,AKC,USA,Kuvasz
Labrador Retriever,https://www.akc.org/dog-breeds/labrador-retriever/,AKC,USA,Labrador Retriever
Lagotto Romagnolo,https://www.akc.org/dog-breeds/lagotto-romagnolo/,AKC,USA,Lagotto Romagnolo
Lakeland Terrier,https://www.akc.org/dog-breeds/lakeland-terrier/,AKC,USA,Lakeland Terrier
Lancashire Heeler,https://www.akc.org/dog-breeds/lancashire-heeler/,AKC,USA,Lancashire Heeler
Lapponian Herder,https://www.akc.org/dog-breeds/lapponian-herder/,AKC,USA,Lapponian Herder
Leonberger,https://www.akc.org/dog-breeds/leonberger/,AKC,USA,Leonberger
Lhasa Apso,https://www.akc.org/dog-breeds/lhasa-apso/,AKC,USA,Lhasa Apso
Löwchen,https://www.akc.org/dog-breeds/lowchen/,AKC,USA,Löwchen
Maltese,https://www.akc.org/dog-breeds/maltese/,AKC,USA,Maltese
Manchester Terrier (Standard),https://www.akc.org/dog-breeds/manchester-terrier-standard/,AKC,USA,Manchester Terrier (Standard)
Manchester Terrier (Toy),https://www.akc.org/dog-breeds/manchester-terrier-toy/,AKC,USA,Manchester Terrier (Toy)
Mastiff,https://www.akc.org/dog-breeds/mastiff/,AKC,USA,Mastiff
Miniature American Shepherd,https://www.akc.org/dog-breeds/miniature-american-shepherd/,AKC,USA,Miniature American Shepherd
Miniature Bull Terrier,https://www.akc.org/dog-breeds/miniature-bull-terrier/,AKC,USA,Miniature Bull Terrier
Miniature Pinscher,https://www.akc.org/dog-breeds/miniature-pinscher/,AKC,USA,Miniature Pinscher
Miniature Schnauzer,https://www.akc.org/dog-breeds/miniature-schnauzer/,AKC,USA,Miniature Schnauzer
Mountain Cur,https://www.akc.org/dog-breeds/mountain-cur/,AKC,USA,Mountain Cur
Mudi,https://www.akc.org/dog-breeds/mudi/,AKC,USA,Mudi
Neapolitan Mastiff,https://www.akc.org/dog-breeds/neapolitan-mastiff/,AKC,USA,Neapolitan Mastiff
Nederlandse Kooikerhondje,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/,AKC,USA,Nederlandse Kooikerhondje
Newfoundland,https://www.akc.org/dog-breeds/newfoundland/,AKC,USA,Newfoundland
Norfolk Terrier,https://www.akc.org/dog-breeds/norfolk-terrier/,AKC,USA,Norfolk Terrier
Norrbottenspets,https://www.akc.org/dog-breeds/norrbottenspets/,AKC,USA,Norrbottenspets
Norwegian Buhund,https://www.akc.org/dog-breeds/norwegian-buhund/,AKC,USA,Norwegian Buhund
Norwegian Elkhound,https://www.akc.org/dog-breeds/norwegian-elkhound/,AKC,USA,Norwegian Elkhound
Norwegian Lundehund,https://www.akc.org/dog-breeds/norwegian-lundehund/,AKC,USA,Norwegian Lundehund
Norwich Terrier,https://www.akc.org/dog-breeds/norwich-terrier/,AKC,USA,Norwich Terrier
Nova Scotia Duck Tolling Retriever,https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/,AKC,USA,Nova Scotia Duck Tolling Retriever
Old English Sheepdog,https://www.akc.org/dog-breeds/old-english-sheepdog/,AKC,USA,Old English Sheepdog
Otterhound,https://www.akc.org/dog-breeds/otterhound/,AKC,USA,Otterhound
Papillon,https://www.akc.org/dog-breeds/papillon/,AKC,USA,Papillon
Parson Russell Terrier,https://www.akc.org/dog-breeds/parson-russell-terrier/,AKC,USA,Parson Russell Terrier
