Breed,Source,Organization,Country,TransboundaryName
Great Anglo-Francais White and Orange Hound,https://www.ukcdogs.com/great-anglo-francais-white-and-orange-hound,UKC,USA,Great Anglo-Francais White and Orange Hound
Griffon Bleu de Gascogne,https://www.ukcdogs.com/griffon-bleu-de-gascogne,UKC,USA,Griffon Bleu de Gascogne
Griffon Fauve de Bretagne,https://www.ukcdogs.com/griffon-fauve-de-bretagne,UKC,USA,Griffon Fauve de Bretagne
Griffon Nivernais,https://www.ukcdogs.com/griffon-nivernais,UKC,USA,Griffon Nivernais
Haldenstover (Halden Hound),https://www.ukcdogs.com/haldenstover-halden-hound,UKC,USA,Haldenstover (Halden Hound)
Hamiltonstovare,https://www.ukcdogs.com/hamiltonstovare-hamilton-hound,UKC,USA,Hamiltonstovare
Hanoverian Hound,https://www.ukcdogs.com/hanoverian-hound,UKC,USA,Hanoverian Hound
Harrier,https://www.ukcdogs.com/harrier,UKC,USA,Harrier
Hellenic Hound,https://www.ukcdogs.com/hellenic-hound,UKC,USA,Hellenic Hound
Hygen Hound,https://www.ukcdogs.com/hygen-hound,UKC,USA,Hygen Hound
Istrian Coarse-Haired Hound,https://www.ukcdogs.com/istrian-coarse-haired-hound,UKC,USA,Istrian Coarse-Haired Hound
Istrian Short-Haired Hound,https://www.ukcdogs.com/istrian-short-haired-hound,UKC,USA,Istrian Short-Haired Hound
Italian Hound,https://www.ukcdogs.com/italian-hound,UKC,USA,Italian Hound
Montenegrin Mountain Hound,https://www.ukcdogs.com/montenegrin-mountain-dog,UKC,USA,Montenegrin Mountain Hound
Mountain Cur,https://www.ukcdogs.com/mountain-cur,UKC,USA,Mountain Cur
Otterhound,https://www.ukcdogs.com/otterhound,UKC,USA,Otterhound
Petit Basset Griffon Vendeen,https://www.ukcdogs.com/petit-basset-griffon-vendeen,UKC,USA,Petit Basset Griffon Vendeen
Petit Bleu De Gascogne,https://www.ukcdogs.com/petit-bleu-de-gascogne,UKC,USA,Petit Bleu De Gascogne
Petit Gascon-Saintongeois,https://www.ukcdogs.com/petit-gascon-saintongeois,UKC,USA,Petit Gascon-Saintongeois
Plott Hound,https://www.ukcdogs.com/plott-hound,UKC,USA,Plott Hound
Poitevin,https://www.ukcdogs.com/poitevin,UKC,USA,Poitevin
Polish Hound,https://www.ukcdogs.com/polish-hound,UKC,USA,Polish Hound
Porcelaine,https://www.ukcdogs.com/porcelaine,UKC,USA,Porcelaine
Posavaz Hound,https://www.ukcdogs.com/posavaz-hound,UKC,USA,Posavaz Hound
Redbone Coonhound,https://www.ukcdogs.com/redbone-coonhound,UKC,USA,Redbone Coonhound
Schiller Hound,https://www.ukcdogs.com/schiller-hound,UKC,USA,Schiller Hound
Serbian Hound,https://www.ukcdogs.com/serbian-hound,UKC,USA,Serbian Hound
Serbian Tricolor Hound,https://www.ukcdogs.com/serbian-tricolor-hound,UKC,USA,Serbian Tricolor Hound
Smaland Hound,https://www.ukcdogs.com/smaland-hound,UKC,USA,Smaland Hound
Small Swiss Hound,https://www.ukcdogs.com/small-swiss-hound,UKC,USA,Small Swiss Hound
Spanish Hound,https://www.ukcdogs.com/spanish-hound,UKC,USA,Spanish Hound
Stephens' Cur,https://www.ukcdogs.com/stephens-cur,UKC,USA,Stephens' Cur
Styrian Coarse Haired Hound,https://www.ukcdogs.com/styrian-coarse-haired-hound,UKC,USA,Styrian Coarse Haired Hound
Swiss Hound,https://www.ukcdogs.com/swiss-hound,UKC,USA,Swiss Hound
Transylvanian Hound,https://www.ukcdogs.com/transylvanian-hound,UKC,USA,Transylvanian Hound
Treeing Cur,https://www.ukcdogs.com/treeing-cur,UKC,USA,Treeing Cur
Treeing Tennessee Brindle,https://www.ukcdogs.com/treeing-tennessee-brindle,UKC,USA,Treeing Tennessee Brindle
Treeing Walker Coonhound,https://www.ukcdogs.com/treeing-walker-coonhound,UKC,USA,Treeing Walker Coonhound
Tyrolean Hound,https://www.ukcdogs.com/tyrolean-hound,UKC,USA,Tyrolean Hound
Welsh Hound,https://www.ukcdogs.com/welsh-hound,UKC,USA,Welsh Hound
Westphalian Dachsbracke,https://www.ukcdogs.com/westphalian-dachsbracke,UKC,USA,Westphalian Dachsbracke
Sighthound & Pariah,https://www.ukcdogs.com/#category_id_7,UKC,USA,Sighthound & Pariah
Afghan Hound,https://www.ukcdogs.com/afghan-hound,UKC,USA,Afghan Hound
Azawakh,https://www.ukcdogs.com/azawakh,UKC,USA,Azawakh
Basenji,https://www.ukcdogs.com/basenji,UKC,USA,Basenji
Borzoi,https://www.ukcdogs.com/borzoi,UKC,USA,Borzoi
Canaan Dog,https://www.ukcdogs.com/canaan-dog,UKC,USA,Canaan Dog
Carolina Dog,https://www.ukcdogs.com/carolina-dog,UKC,USA,Carolina Dog
Chart Polski (Polish Greyhound),https://www.ukcdogs.com/chart-polski-polish-greyhound,UKC,USA,Chart Polski (Polish Greyhound)
Cirneco dell'Etna,https://www.ukcdogs.com/cirneco-dell-etna,UKC,USA,Cirneco dell'Etna
Greyhound,https://www.ukcdogs.com/greyhound,UKC,USA,Greyhound
Hungarian Greyhound (Magyar Agar),https://www.ukcdogs.com/hungarian-greyhound-magyar-agar,UKC,USA,Hungarian Greyhound (Magyar Agar)
Ibizan Hound,https://www.ukcdogs.com/ibizan-hound,UKC,USA,Ibizan Hound
Irish Wolfhound,https://www.ukcdogs.com/irish-wolfhound,UKC,USA,Irish Wolfhound
Peruvian Inca Orchid,https://www.ukcdogs.com/peruvian-inca-orchid,UKC,USA,Peruvian Inca Orchid
Pharaoh Hound,https://www.ukcdogs.com/pharaoh-hound,UKC,USA,Pharaoh Hound
Podenco Canario,https://www.ukcdogs.com/podenco-canario,UKC,USA,Podenco Canario
Podengo Portugueso,https://www.ukcdogs.com/portuguese-podengo,UKC,USA,Podengo Portugueso
Rhodesian Ridgeback,https://www.ukcdogs.com/rhodesian-ridgeback,UKC,USA,Rhodesian Ridgeback
Saluki,https://www.ukcdogs.com/saluki,UKC,USA,Saluki
Scottish Deerhound,https://www.ukcdogs.com/scottish-deerhound,UKC,USA,Scottish Deerhound
Silken Windhound,https://www.ukcdogs.com/silken-windhound,UKC,USA,Silken Windhound
Sloughi,https://www.ukcdogs.com/sloughi,UKC,USA,Sloughi
Spanish Greyhound,https://www.ukcdogs.com/spanish-greyhound,UKC,USA,Spanish Greyhound
Thai Ridgeback,https://www.ukcdogs.com/thai-ridgeback,UKC,USA,Thai Ridgeback
Whippet,https://www.ukcdogs.com/whippet,UKC,USA,Whippet
Xoloitzcuintli,https://www.ukcdogs.com/xoloitzcuintli,UKC,USA,Xoloitzcuintli
Terrier,https://www.ukcdogs.com/#category_id_8,UKC,USA,Terrier
Airedale Terrier,https://www.ukcdogs.com/airedale-terrier,UKC,USA,Airedale Terrier
American Hairless Terrier,https://www.ukcdogs.com/american-hairless-terrier,UKC,USA,American Hairless Terrier
American Pit Bull Terrier,https://www.ukcdogs.com/american-pit-bull-terrier,UKC,USA,American Pit Bull Terrier
Australian Terrier,https://www.ukcdogs.com/australian-terrier,UKC,USA,Australian Terrier
Austrian Pinscher,https://www.ukcdogs.com/austrian-pinscher,UKC,USA,Austrian Pinscher
Bedlington Terrier,https://www.ukcdogs.com/bedlington-terrier,UKC,USA,Bedlington Terrier
Border Terrier,https://www.ukcdogs.com/border-terrier,UKC,USA,Border Terrier
Bull Terrier,https://www.ukcdogs.com/bull-terrier,UKC,USA,Bull Terrier
Cairn Terrier,https://www.ukcdogs.com/cairn-terrier,UKC,USA,Cairn Terrier
Cesky Terrier,https://www.ukcdogs.com/cesky-terrier,UKC,USA,Cesky Terrier
Dandie Dinmont Terrier,https://www.ukcdogs.com/dandie-dinmont-terrier,UKC,USA,Dandie Dinmont Terrier
Danish-Swedish Farmdog,https://www.ukcdogs.com/danish-swedish-farmdog,UKC,USA,Danish-Swedish Farmdog
Dutch Smoushond,https://www.ukcdogs.com/dutch-smoushond,UKC,USA,Dutch Smoushond
German Pinscher,https://www.ukcdogs.com/german-pinscher,UKC,USA,German Pinscher
Glen of Imaal Terrier,https://www.ukcdogs.com/glen-of-imaal-terrier,UKC,USA,Glen of Imaal Terrier
Irish Terrier,https://www.ukcdogs.com/irish-terrier,UKC,USA,Irish Terrier
Jack Russell Terrier,https://www.ukcdogs.com/jack-russell-terrier,UKC,USA,Jack Russell Terrier
Jagdterrier,https://www.ukcdogs.com/jagdterrier,UKC,USA,Jagdterrier
Japanese Terrier,https://www.ukcdogs.com/japanese-terrier,UKC,USA,Japanese Terrier
Kerry Blue Terrier,https://www.ukcdogs.com/kerry-blue-terrier,UKC,USA,Kerry Blue Terrier
Lakeland Terrier,https://www.ukcdogs.com/lakeland-terrier,UKC,USA,Lakeland Terrier
Manchester Terrier,https://www.ukcdogs.com/manchester-terrier,UKC,USA,Manchester Terrier
Miniature Bull Terrier,https://www.ukcdogs.com/miniature-bull-terrier,UKC,USA,Miniature Bull Terrier
Miniature Schnauzer,https://www.ukcdogs.com/miniature-schnauzer,UKC,USA,Miniature Schnauzer
Mountain Feist,https://www.ukcdogs.com/mountain-feist,UKC,USA,Mountain Feist
Norfolk Terrier,https://www.ukcdogs.com/norfolk-terrier,UKC,USA,Norfolk Terrier
Norwich Terrier,https://www.ukcdogs.com/norwich-terrier,UKC,USA,Norwich Terrier
Parson Russell Terrier,https://www.ukcdogs.com/parson-russell-terrier,UKC,USA,Parson Russell Terrier
Patterdale Terrier,https://www.ukcdogs.com/patterdale-terrier,UKC,USA,Patterdale Terrier
Rat Terrier,https://www.ukcdogs.com/rat-terrier,UKC,USA,Rat Terrier
Scottish Terrier,https://www.ukcdogs.com/scottish-terrier,UKC,USA,Scottish Terrier
Sealyham Terrier,https://www.ukcdogs.com/sealyham-terrier,UKC,USA,Sealyham Terrier
Silky Terrier,https://www.ukcdogs.com/silky-terrier,UKC,USA,Silky Terrier
Skye Terrier,https://www.ukcdogs.com/skye-terrier,UKC,USA,Skye Terrier
Smooth Fox Terrier,https://www.ukcdogs.com/smooth-fox-terrier,UKC,USA,Smooth Fox Terrier
Soft-Coated Wheaten Terrier,https://www.ukcdogs.com/soft-coated-wheaten-terrier,UKC,USA,Soft-Coated Wheaten Terrier
Sporting Lucas Terrier,https://www.ukcdogs.com/sporting-lucas-terrier,UKC,USA,Sporting Lucas Terrier
Staffordshire Bull Terrier,https://www.ukcdogs.com/staffordshire-bull-terrier,UKC,USA,Staffordshire Bull Terrier
Teddy Roosevelt Terrier,https://www.ukcdogs.com/teddy-roosevelt-terrier,UKC,USA,Teddy Roosevelt Terrier
Toy Fox Terrier,https://www.ukcdogs.com/toy-fox-terrier,UKC,USA,Toy Fox Terrier
Treeing Feist,https://www.ukcdogs.com/treeing-feist,UKC,USA,Treeing Feist
Welsh Terrier,https://www.ukcdogs.com/welsh-terrier,UKC,USA,Welsh Terrier
West Highland White Terrier,https://www.ukcdogs.com/west-highland-white-terrier,UKC,USA,West Highland White Terrier
Wire Fox Terrier,https://www.ukcdogs.com/wire-fox-terrier,UKC,USA,Wire Fox Terrier
Affenpinscher,https://www.skk.se/sv/hundraser/Affenpinscher,SKK,SWE,
Afghanhund,https://www.skk.se/sv/hundraser/Afghanhund,SKK,SWE,
Aidi,https://www.skk.se/sv/hundraser/Aidi,SKK,SWE,
Airedaleterrier,https://www.skk.se/sv/hundraser/Airedaleterrier,SKK,SWE,
Akita,https://www.skk.se/sv/hundraser/Akita,SKK,SWE,
Alaskan malamute,https://www.skk.se/sv/hundraser/Alaskan-malamute,SKK,SWE,
Alpenländische dachsbracke,https://www.skk.se/sv/hundraser/Alpenländische-dachsbracke,SKK,SWE,
American akita,https://www.skk.se/sv/hundraser/American-akita,SKK,SWE,
American eskimo dog,https://www.skk.se/sv/hundraser/American-eskimo-dog,SKK,SWE,
American foxhound,https://www.skk.se/sv/hundraser/American-foxhound,SKK,SWE,
American hairless terrier,https://www.skk.se/sv/hundraser/American-hairless-terrier,SKK,SWE,
American staffordshire terrier,https://www.skk.se/sv/hundraser/American-staffordshire-terrier,SKK,SWE,
American toy fox terrier,https://www.skk.se/sv/hundraser/American-toy-fox-terrier,SKK,SWE,
American water spaniel,https://www.skk.se/sv/hundraser/American-water-spaniel,SKK,SWE,
Amerikansk cocker spaniel,https://www.skk.se/sv/hundraser/Amerikansk-cocker-spaniel,SKK,SWE,
Anglo-francais de petite vénerie,https://www.skk.se/sv/hundraser/Anglo-francais-de-petite-vénerie,SKK,SWE,
Anglo-russkaja gontjaja,https://www.skk.se/sv/hundraser/Anglo-russkaja-gontjaja,SKK,SWE,
Anjing kintamani-bali,https://www.skk.se/sv/hundraser/Anjing-kintamani-bali,SKK,SWE,
Appenzeller sennenhund,https://www.skk.se/sv/hundraser/Appenzeller-sennenhund,SKK,SWE,
Ariégeois,https://www.skk.se/sv/hundraser/Ariégeois,SKK,SWE,
Australian cattledog,https://www.skk.se/sv/hundraser/Australian-cattledog,SKK,SWE,
Australian kelpie,https://www.skk.se/sv/hundraser/Australian-kelpie,SKK,SWE,
Australian shepherd,https://www.skk.se/sv/hundraser/Australian-shepherd,SKK,SWE,
Australian stumpy tail cattle dog,https://www.skk.se/sv/hundraser/Australian-stumpy-tail-cattle-dog,SKK,SWE,
Australisk terrier,https://www.skk.se/sv/hundraser/Australisk-terrier,SKK,SWE,
Azawakh,https://www.skk.se/sv/hundraser/Azawakh,SKK,SWE,
Barbet,https://www.skk.se/sv/hundraser/Barbet,SKK,SWE,
Basenji,https://www.skk.se/sv/hundraser/Basenji,SKK,SWE,
Basset artésien normand,https://www.skk.se/sv/hundraser/Basset-artésien-normand,SKK,SWE,
Basset bleu de gascogne,https://www.skk.se/sv/hundraser/Basset-bleu-de-gascogne,SKK,SWE,
Basset fauve de bretagne,https://www.skk.se/sv/hundraser/Basset-fauve-de-bretagne,SKK,SWE,
Basset hound,https://www.skk.se/sv/hundraser/Basset-hound,SKK,SWE,
Bayersk viltspårhund,https://www.skk.se/sv/hundraser/Bayersk-viltspårhund,SKK,SWE,
Beagle,https://www.skk.se/sv/hundraser/Beagle,SKK,SWE,
Beagle harrier,https://www.skk.se/sv/hundraser/Beagle-harrier,SKK,SWE,
Bearded collie,https://www.skk.se/sv/hundraser/Bearded-collie,SKK,SWE,
Beauceron,https://www.skk.se/sv/hundraser/Beauceron,SKK,SWE,
Bedlingtonterrier,https://www.skk.se/sv/hundraser/Bedlingtonterrier,SKK,SWE,
Belgisk vallhund,https://www.skk.se/sv/hundraser/Belgisk-vallhund,SKK,SWE,
Belgisk vallhund/ groenendael,https://www.skk.se/sv/hundraser/Belgisk-vallhund/-groenendael,SKK,SWE,
Belgisk vallhund/ laekenois,https://www.skk.se/sv/hundraser/Belgisk-vallhund/-laekenois,SKK,SWE,
Belgisk vallhund/ malinois,https://www.skk.se/sv/hundraser/Belgisk-vallhund/-malinois,SKK,SWE,
Belgisk vallhund/ tervueren,https://www.skk.se/sv/hundraser/Belgisk-vallhund/-tervueren,SKK,SWE,
Bergamasco,https://www.skk.se/sv/hundraser/Bergamasco,SKK,SWE,
Berger des pyrénées à face rase,https://www.skk.se/sv/hundraser/Berger-des-pyrénées-à-face-rase,SKK,SWE,
Berger des pyrénées à poil long,https://www.skk.se/sv/hundraser/Berger-des-pyrénées-à-poil-long,SKK,SWE,
Berger picard,https://www.skk.se/sv/hundraser/Berger-picard,SKK,SWE,
Berner sennenhund,https://www.skk.se/sv/hundraser/Berner-sennenhund,SKK,SWE,
Bichon frisé,https://www.skk.se/sv/hundraser/Bichon-frisé,SKK,SWE,
Bichon havanais,https://www.skk.se/sv/hundraser/Bichon-havanais,SKK,SWE,
Biewer terrier,https://www.skk.se/sv/hundraser/Biewer-terrier,SKK,SWE,
Billy,https://www.skk.se/sv/hundraser/Billy,SKK,SWE,
Black and tan coonhound,https://www.skk.se/sv/hundraser/Black-and-tan-coonhound,SKK,SWE,
Blodhund,https://www.skk.se/sv/hundraser/Blodhund,SKK,SWE,
Bluetick coonhound,https://www.skk.se/sv/hundraser/Bluetick-coonhound,SKK,SWE,
Bolognese,https://www.skk.se/sv/hundraser/Bolognese,SKK,SWE,
Border collie,https://www.skk.se/sv/hundraser/Border-collie,SKK,SWE,
Borderterrier,https://www.skk.se/sv/hundraser/Borderterrier,SKK,SWE,
Borzoi,https://www.skk.se/sv/hundraser/Borzoi,SKK,SWE,
Bosanski ostrodlaki gonic-barak,https://www.skk.se/sv/hundraser/Bosanski-ostrodlaki-gonic-barak,SKK,SWE,
Bostonterrier,https://www.skk.se/sv/hundraser/Bostonterrier,SKK,SWE,
Bouvier des ardennes,https://www.skk.se/sv/hundraser/Bouvier-des-ardennes,SKK,SWE,
Bouvier des flandres,https://www.skk.se/sv/hundraser/Bouvier-des-flandres,SKK,SWE,
Boxer,https://www.skk.se/sv/hundraser/Boxer,SKK,SWE,
Bracco italiano,https://www.skk.se/sv/hundraser/Bracco-italiano,SKK,SWE,
Brandlbracke - (vieräugl),https://www.skk.se/sv/hundraser/Brandlbracke---(vieräugl),SKK,SWE,
Braque d'auvergne,https://www.skk.se/sv/hundraser/Braque-d'auvergne,SKK,SWE,
Braque de l'ariége,https://www.skk.se/sv/hundraser/Braque-de-l'ariége,SKK,SWE,
Braque du bourbonnais,https://www.skk.se/sv/hundraser/Braque-du-bourbonnais,SKK,SWE,
"Braque francais, type gascogne","https://www.skk.se/sv/hundraser/Braque-francais,-type-gascogne",SKK,SWE,
"Braque francais, type pyrénées","https://www.skk.se/sv/hundraser/Braque-francais,-type-pyrénées",SKK,SWE,
Braque saint-germain,https://www.skk.se/sv/hundraser/Braque-saint-germain,SKK,SWE,
Breton,https://www.skk.se/sv/hundraser/Breton,SKK,SWE,
Briard,https://www.skk.se/sv/hundraser/Briard,SKK,SWE,
Briquet griffon vendéen,https://www.skk.se/sv/hundraser/Briquet-griffon-vendéen,SKK,SWE,
Broholmer,https://www.skk.se/sv/hundraser/Broholmer,SKK,SWE,
Bullmastiff,https://www.skk.se/sv/hundraser/Bullmastiff,SKK,SWE,
Bullterrier,https://www.skk.se/sv/hundraser/Bullterrier,SKK,SWE,
Bullterrier/miniatyrbullterrier,https://www.skk.se/sv/hundraser/Bullterrier/miniatyrbullterrier,SKK,SWE,
Ca de bestiar,https://www.skk.se/sv/hundraser/Ca-de-bestiar,SKK,SWE,
Cairnterrier,https://www.skk.se/sv/hundraser/Cairnterrier,SKK,SWE,
Canaan dog,https://www.skk.se/sv/hundraser/Canaan-dog,SKK,SWE,
Canadian eskimo dog,https://www.skk.se/sv/hundraser/Canadian-eskimo-dog,SKK,SWE,
Cane corso,https://www.skk.se/sv/hundraser/Cane-corso,SKK,SWE,
"Cao da serra da estrela, pelo compr","https://www.skk.se/sv/hundraser/Cao-da-serra-da-estrela,-pelo-compr",SKK,SWE,
"Cao da serra da estrela, pelo curto","https://www.skk.se/sv/hundraser/Cao-da-serra-da-estrela,-pelo-curto",SKK,SWE,
Cao da serra de aires,https://www.skk.se/sv/hundraser/Cao-da-serra-de-aires,SKK,SWE,
Cao de castro laboreiro,https://www.skk.se/sv/hundraser/Cao-de-castro-laboreiro,SKK,SWE,
Cão de gado transmontano,https://www.skk.se/sv/hundraser/Cão-de-gado-transmontano,SKK,SWE,
Cao fila de sao miguel,https://www.skk.se/sv/hundraser/Cao-fila-de-sao-miguel,SKK,SWE,
Cavalier king charles spaniel,https://www.skk.se/sv/hundraser/Cavalier-king-charles-spaniel,SKK,SWE,
Ceskoslovenský vlciak,https://www.skk.se/sv/hundraser/Ceskoslovenský-vlciak,SKK,SWE,
Cesky fousek,https://www.skk.se/sv/hundraser/Cesky-fousek,SKK,SWE,
Ceskyterrier,https://www.skk.se/sv/hundraser/Ceskyterrier,SKK,SWE,
Chart polski,https://www.skk.se/sv/hundraser/Chart-polski,SKK,SWE,
Chesapeake bay retriever,https://www.skk.se/sv/hundraser/Chesapeake-bay-retriever,SKK,SWE,
Chien d'artois,https://www.skk.se/sv/hundraser/Chien-d'artois,SKK,SWE,
"Chihuahua, korthårig","https://www.skk.se/sv/hundraser/Chihuahua,-korthårig",SKK,SWE,
"Chihuahua, långhårig","https://www.skk.se/sv/hundraser/Chihuahua,-långhårig",SKK,SWE,
Chinese crested dog,https://www.skk.se/sv/hundraser/Chinese-crested-dog,SKK,SWE,
Chodský pes,https://www.skk.se/sv/hundraser/Chodský-pes,SKK,SWE,
Chow chow,https://www.skk.se/sv/hundraser/Chow-chow,SKK,SWE,
Cimarrón uruguayo,https://www.skk.se/sv/hundraser/Cimarrón-uruguayo,SKK,SWE,
Ciobanesc romanesc carpatin,https://www.skk.se/sv/hundraser/Ciobanesc-romanesc-carpatin,SKK,SWE,
Ciobanesc romanesc de bucovina,https://www.skk.se/sv/hundraser/Ciobanesc-romanesc-de-bucovina,SKK,SWE,
Ciobanesc romanesc mioritic,https://www.skk.se/sv/hundraser/Ciobanesc-romanesc-mioritic,SKK,SWE,
Cirneco dell'etna,https://www.skk.se/sv/hundraser/Cirneco-dell'etna,SKK,SWE,
Clumber spaniel,https://www.skk.se/sv/hundraser/Clumber-spaniel,SKK,SWE,
Clumber spaniel/cocker spaniel,https://www.skk.se/sv/hundraser/Clumber-spaniel/cocker-spaniel,SKK,SWE,
Cocker spaniel,https://www.skk.se/sv/hundraser/Cocker-spaniel,SKK,SWE,
"Collie, korthårig","https://www.skk.se/sv/hundraser/Collie,-korthårig",SKK,SWE,
"Collie, långhårig","https://www.skk.se/sv/hundraser/Collie,-långhårig",SKK,SWE,
Continental bulldog,https://www.skk.se/sv/hundraser/Continental-bulldog,SKK,SWE,
Coton de tuléar,https://www.skk.se/sv/hundraser/Coton-de-tuléar,SKK,SWE,
Crnogorski planinski gonic,https://www.skk.se/sv/hundraser/Crnogorski-planinski-gonic,SKK,SWE,
Curly coated retriever,https://www.skk.se/sv/hundraser/Curly-coated-retriever,SKK,SWE,
Dalmatiner,https://www.skk.se/sv/hundraser/Dalmatiner,SKK,SWE,
Dandie dinmont terrier,https://www.skk.se/sv/hundraser/Dandie-dinmont-terrier,SKK,SWE,
Dansk spids,https://www.skk.se/sv/hundraser/Dansk-spids,SKK,SWE,
Dansk-svensk gårdshund,https://www.skk.se/sv/hundraser/Dansk-svensk-gårdshund,SKK,SWE,
Deutsch stichelhaar,https://www.skk.se/sv/hundraser/Deutsch-stichelhaar,SKK,SWE,
Deutsche bracke,https://www.skk.se/sv/hundraser/Deutsche-bracke,SKK,SWE,
Dobermann,https://www.skk.se/sv/hundraser/Dobermann,SKK,SWE,
Dogo argentino,https://www.skk.se/sv/hundraser/Dogo-argentino,SKK,SWE,
Dogue de bordeaux,https://www.skk.se/sv/hundraser/Dogue-de-bordeaux,SKK,SWE,
Drentsche patrijshond,https://www.skk.se/sv/hundraser/Drentsche-patrijshond,SKK,SWE,
Drever,https://www.skk.se/sv/hundraser/Drever,SKK,SWE,
Dunkerstövare,https://www.skk.se/sv/hundraser/Dunkerstövare,SKK,SWE,
Dvärgpinscher,https://www.skk.se/sv/hundraser/Dvärgpinscher,SKK,SWE,
Dvärgschnauzer,https://www.skk.se/sv/hundraser/Dvärgschnauzer,SKK,SWE,
"Dvärgschnauzer, peppar & salt","https://www.skk.se/sv/hundraser/Dvärgschnauzer,-peppar-&-salt",SKK,SWE,
"Dvärgschnauzer, svart","https://www.skk.se/sv/hundraser/Dvärgschnauzer,-svart",SKK,SWE,
"Dvärgschnauzer, svart & silver","https://www.skk.se/sv/hundraser/Dvärgschnauzer,-svart-&-silver",SKK,SWE,
"Dvärgschnauzer, vit","https://www.skk.se/sv/hundraser/Dvärgschnauzer,-vit",SKK,SWE,
Ej stambokförd i skk,https://www.skk.se/sv/hundraser/Ej-stambokförd-i-skk,SKK,SWE,
Engelsk bulldogg,https://www.skk.se/sv/hundraser/Engelsk-bulldogg,SKK,SWE,
Engelsk setter,https://www.skk.se/sv/hundraser/Engelsk-setter,SKK,SWE,
Engelsk springer spaniel,https://www.skk.se/sv/hundraser/Engelsk-springer-spaniel,SKK,SWE,
English toy terrier,https://www.skk.se/sv/hundraser/English-toy-terrier,SKK,SWE,
Entlebucher sennenhund,https://www.skk.se/sv/hundraser/Entlebucher-sennenhund,SKK,SWE,
Épagneul bleu de picardie,https://www.skk.se/sv/hundraser/Épagneul-bleu-de-picardie,SKK,SWE,
Épagneul de pont-audemer,https://www.skk.se/sv/hundraser/Épagneul-de-pont-audemer,SKK,SWE,
Épagneul de saint-usuge,https://www.skk.se/sv/hundraser/Épagneul-de-saint-usuge,SKK,SWE,
Épagneul francais,https://www.skk.se/sv/hundraser/Épagneul-francais,SKK,SWE,
Épagneul picard,https://www.skk.se/sv/hundraser/Épagneul-picard,SKK,SWE,
Erdélyi kopó,https://www.skk.se/sv/hundraser/Erdélyi-kopó,SKK,SWE,
Estnisk stövare,https://www.skk.se/sv/hundraser/Estnisk-stövare,SKK,SWE,
Eurasier,https://www.skk.se/sv/hundraser/Eurasier,SKK,SWE,
Faraohund,https://www.skk.se/sv/hundraser/Faraohund,SKK,SWE,
Field spaniel,https://www.skk.se/sv/hundraser/Field-spaniel,SKK,SWE,
Fila brasileiro,https://www.skk.se/sv/hundraser/Fila-brasileiro,SKK,SWE,
Finsk lapphund,https://www.skk.se/sv/hundraser/Finsk-lapphund,SKK,SWE,
Finsk spets,https://www.skk.se/sv/hundraser/Finsk-spets,SKK,SWE,
Finsk stövare,https://www.skk.se/sv/hundraser/Finsk-stövare,SKK,SWE,
Flatcoated retriever,https://www.skk.se/sv/hundraser/Flatcoated-retriever,SKK,SWE,
Foxhound,https://www.skk.se/sv/hundraser/Foxhound,SKK,SWE,
Francais blanc et noir,https://www.skk.se/sv/hundraser/Francais-blanc-et-noir,SKK,SWE,
Francais blanc et orange,https://www.skk.se/sv/hundraser/Francais-blanc-et-orange,SKK,SWE,
Francais tricolore,https://www.skk.se/sv/hundraser/Francais-tricolore,SKK,SWE,
Fransk bulldogg,https://www.skk.se/sv/hundraser/Fransk-bulldogg,SKK,SWE,
Galgo espanol,https://www.skk.se/sv/hundraser/Galgo-espanol,SKK,SWE,
Gammel dansk hönsehund,https://www.skk.se/sv/hundraser/Gammel-dansk-hönsehund,SKK,SWE,
Gascon saintongeois,https://www.skk.se/sv/hundraser/Gascon-saintongeois,SKK,SWE,
Golden retriever,https://www.skk.se/sv/hundraser/Golden-retriever,SKK,SWE,
Gonczy polski,https://www.skk.se/sv/hundraser/Gonczy-polski,SKK,SWE,
Gordonsetter,https://www.skk.se/sv/hundraser/Gordonsetter,SKK,SWE,
Gos d'atura catalá,https://www.skk.se/sv/hundraser/Gos-d'atura-catalá,SKK,SWE,
Gotlandsstövare,https://www.skk.se/sv/hundraser/Gotlandsstövare,SKK,SWE,
Gotlandsstövare (rasvård),https://www.skk.se/sv/hundraser/Gotlandsstövare-(rasvård),SKK,SWE,
Grand anglo-francais blanc & noir,https://www.skk.se/sv/hundraser/Grand-anglo-francais-blanc-&-noir,SKK,SWE,
Grand anglo-francais blanc & orange,https://www.skk.se/sv/hundraser/Grand-anglo-francais-blanc-&-orange,SKK,SWE,
Grand anglo-francais tricolore,https://www.skk.se/sv/hundraser/Grand-anglo-francais-tricolore,SKK,SWE,
Grand basset griffon vendéen,https://www.skk.se/sv/hundraser/Grand-basset-griffon-vendéen,SKK,SWE,
Grand bleu de gascogne,https://www.skk.se/sv/hundraser/Grand-bleu-de-gascogne,SKK,SWE,
Grand danois,https://www.skk.se/sv/hundraser/Grand-danois,SKK,SWE,
Grand griffon vendéen,https://www.skk.se/sv/hundraser/Grand-griffon-vendéen,SKK,SWE,
Greyhound,https://www.skk.se/sv/hundraser/Greyhound,SKK,SWE,
Griffon belge,https://www.skk.se/sv/hundraser/Griffon-belge,SKK,SWE,
