Breed	iDog_ID	iDog_Ref	Alt_Names	Country_of_Origin	AKC	CKC	UKC	FCI
Rough Collie	CB288	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=299	Collie Rough|Collie|Scottish Collie|Long-Haired Collie|English collie|lassie dog	United Kingdom (Scotland)		https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Collie-Rough		http://www.fci.be/en/nomenclature/COLLIE-ROUGH-156.html
Smooth Collie	CB289	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=300	Collie (Smooth Coat)|KURZHAARIGER SCHOTTISCHER SCHAFERHUND	United Kingdom (Scotland)		https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Collie-Smooth		http://www.fci.be/en/nomenclature/COLLIE-SMOOTH-296.html
Smooth-Haired Vizsla	CB290	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=301	Smooth-Haired Vizsla|Smooth-Haired Vizsla			https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Vizsla-Smooth-Haired		
Standard American Eskimo Dog	CB291	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=302	Standard American Eskimo Dog|Standard American Eskimo Dog			https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/American-Eskimo-Dog-Standard		
Standard Long-haired Dachshund	CB292	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=303	Standard Long-haired Dachshund|Standard Long-haired Dachshund	Though originally bred as hunting dogs, the breed has adapted well to the role of companion. However, the breed is still willing to dig when the opportunity presents itself and can do a fine job of earthmoving.		https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Dachshund-Standard-Long-haired		
Standard Smooth Dachshund	CB293	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=304	Standard Smooth Dachshund|Standard Smooth Dachshund			https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Dachshund-Standard-Smooth		
Standard Wire-haired Dachshund	CB294	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=305	Standard Wire-haired Dachshund|Standard Wire-haired Dachshund			https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Dachshund-Standard-Wire-haired		
Standard Xoloitzcuintli	CB295	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=306	Standard Xoloitzcuintli|Standard Mexican Hairless Dog			https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/Xoloitzcuintli-Standard		
Tatra Sheepdog	CB296	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=307	Tatra Sheepdog|Tatra Sheepdog			https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Tatra-Sheepdog	https://www.ukcdogs.com/owczarek-podhalanski	http://www.fci.be/en/nomenclature/TATRA-SHEPHERD-DOG-252.html
Toy American Eskimo Dog	CB297	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=308	Toy American Eskimo Dog|Toy American Eskimo Dog			https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/American-Eskimo-Dog-Toy		
Toy Xoloitzcuintli	CB298	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=309	Toy Xoloitzcuintli|Toy Mexican Hairless Dog			https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Xoloitzcuintli-Toy		
Aidi (Atlas Mountain Dog)	CB299	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=310	Kabyle Dog|Aïdi|Atlas Mountain Dog|Atlas Shepherd Dog|Berber Dog|Chien de l'Atlas|Chien de Montagne de l'Atlas	Morocco			https://www.ukcdogs.com/atlas-mountain-dog	http://www.fci.be/en/nomenclature/ATLAS-MOUNTAIN-DOG-AIDI-247.html
Alaskan Klee Kai	CB300	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=311	Alaskan Klee Kai|Klee Kai	United States			https://www.ukcdogs.com/alaskan-klee-kai	
Alpine Drachsbracke	CB301	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=313	Alpine Drachsbracke|Alpine Drachsbracke				https://www.ukcdogs.com/alpine-drachsbracke	
American Bully	CB302	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=315	American Bully|American Bully	United States			https://www.ukcdogs.com/american-bully	
Anglo-Francais de Petite Venerie	CB303	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=316	Anglo-Francais de Petite Venerie|Anglo-Francais de Petite Venerie	France			https://www.ukcdogs.com/anglo-francais-de-petite-venerie	http://www.fci.be/en/nomenclature/MEDIUM-SIZED-ANGLO-FRENCH-HOUND-325.html
Ariegeois	CB304	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=318	Ariegeois|Ariege Hound	France			https://www.ukcdogs.com/ariegeois	http://www.fci.be/en/nomenclature/ARIEGEOIS-20.html
Austrian Black and Tan Hound	CB305	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=319	Bracke (colloquially called Vieräugl)|Österreichische Glatthaarige|Bracke|Austrian Smooth-haired Hound|Brandlbracke	Austria			https://www.ukcdogs.com/autrian-black-and-tan-hound	http://www.fci.be/en/nomenclature/AUSTRIAN-BLACK-AND-TAN-HOUND-63.html
Austrian Pinscher	CB306	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=320	Austrian Pinscher|Österreichischer Kurzhaarpinscher|Austrian Shorthaired Pinscher|ÖSTERREICHISCHER PINSCHER	Austria			https://www.ukcdogs.com/austrian-pinscher	http://www.fci.be/en/nomenclature/AUSTRIAN-PINSCHER-64.html
Barak	CB307	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=321	BOSANSKI OSTRODLAKI GONIC-BARAK|STICHELHAARIGER BOSNICHER LAUFHUND-GENANNT BARAK	BOSNIA AND HERZEGOVINA			https://www.ukcdogs.com/barak	http://www.fci.be/en/nomenclature/BOSNIAN-BROKEN-HAIRED-HOUND-CALLED-BARAK-155.html
Basset Artesien Normand	CB308	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=322	BAN|Basset Artesien Normand	France			https://www.ukcdogs.com/basset-artesien-normand	http://www.fci.be/en/nomenclature/NORMAN-ARTESIEN-BASSET-34.html
Basset Bleu De Gascogne	CB309	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=323	Basset Bleu De Gascogne|Blue Gascony Basset|Bleus de Gascogne	France			https://www.ukcdogs.com/basset-bleu-de-gascogne	http://www.fci.be/en/nomenclature/BLUE-GASCONY-BASSET-35.html
Bavarian Mountain Hound	CB310	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=324	Bavarian Mountain Hound|Bavarian Mountain Hound	Germany			https://www.ukcdogs.com/bavarian-mountain-hound	
Beagle Harrier	CB311	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=325	Beagle Harrier|Beagle Harrier	France			https://www.ukcdogs.com/beagle-harrier	http://www.fci.be/en/nomenclature/BEAGLE-HARRIER-290.html
Billy	CB312	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=326	Billy|Billy	France			https://www.ukcdogs.com/billy	http://www.fci.be/en/nomenclature/BILLY-25.html
Black Mouth Cur	CB313	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=328	Black Mouth Cur|Southern Cur|Yellow Black Mouth	United States			https://www.ukcdogs.com/black-mouth-cur	
Bouvier des Ardennes	CB314	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=329	Bouvier des Ardennes|Bouvier des Ardennes	Belgium			https://www.ukcdogs.com/bouvier-des-ardennes	http://www.fci.be/en/nomenclature/BOUVIER-DES-ARDENNES-171.html
Braque de l'Ariege	CB315	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=330	Braque de l'Ariege|Ariege Pointer|Ariege Pointing Dog	France			https://www.ukcdogs.com/braque-de-l-ariege	http://www.fci.be/en/nomenclature/ARIEGE-POINTING-DOG-177.html
Braque Saint Germain	CB316	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=333	Braque Saint Germain|Saint Germain Pointer	France			https://www.ukcdogs.com/braque-saint-germain	http://www.fci.be/en/nomenclature/SAINT-GERMAIN-POINTER-115.html
Briquet Griffon Vendeen	CB317	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=334	Briquet Griffon Vendeen|Medium Vendéen Griffon	France			https://www.ukcdogs.com/briquet-griffon-vendeen	http://www.fci.be/en/nomenclature/BRIQUET-GRIFFON-VENDEEN-19.html
Ca de Bestiar (Majorca Shepherd Dog)	CB318	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=335	Ca de Bestiar (Majorca Shepherd Dog)|Majorca Shepherd Dog|Majorca Sheepdog	Spain			https://www.ukcdogs.com/ca-de-bestair-majorca-shepherd-dog	http://www.fci.be/en/nomenclature/MAJORCA-SHEPHERD-DOG-321.html
Cao de Castro Laboreiro	CB319	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=336	Cao de Castro Laboreiro|Dog of Castro Laboreiro|Portuguese Cattle Dog|Portuguese Watchdog	Portugal			https://www.ukcdogs.com/cao-de-castro-laboreiro	http://www.fci.be/en/nomenclature/CASTRO-LABOREIRO-DOG-170.html
Catalonian Sheepdog	CB320	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=337	Catalonian Sheepdog|Gos d'Atura Català|Catalan shepherd|Catalan sheepdog	Catalonia (Spain);Andorra			https://www.ukcdogs.com/catalonian-sheepdog	http://www.fci.be/en/nomenclature/CATALAN-SHEEPDOG-87.html
Cesky Fousek	CB321	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=338	Cesky Fousek|Bohemian Wire-haired Pointing Griffon|Rough-coated Bohemian Pointer|Barbu tchèque	Czech Republic			https://www.ukcdogs.com/cesky-fousek	
Chart Polski (Polish Greyhound)	CB322	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=339	Chart Polski (Polish Greyhound)|Polish Sighthound|Chart Polski (Polish)	Poland			https://www.ukcdogs.com/chart-polski-polish-greyhound	http://www.fci.be/en/nomenclature/POLISH-GREYHOUND-333.html
Chien d'Artois	CB323	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=340	Chien d'Artois|Artois Hound|Picard|Briquet	France			https://www.ukcdogs.com/chien-d-artois	http://www.fci.be/en/nomenclature/ARTOIS-HOUND-28.html
Chien Francais Blanc et Noir	CB324	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=341	Chien Francais Blanc et Noir|French White and Black Hound	France			https://www.ukcdogs.com/chien-francais-blanc-et-noir	http://www.fci.be/en/nomenclature/FRENCH-WHITE-BLACK-HOUND-220.html
Chien Francais Tricolore	CB325	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=342	Chien Francais Tricolore|French Tricolour Hound	France			https://www.ukcdogs.com/chien-francais-tricolore	
Cimarron Uruguayo	CB326	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=343	Cimarron Uruguayo|Cimarron|Uruguayan Cimarron|Cimarron Creole|Maroon Dog|Cerro Largo Dog|Perro Cimarron|Cimarron Dog.	Uruguay			https://www.ukcdogs.com/cimarron-uruguayo	http://www.fci.be/en/nomenclature/CIMARRON-URUGUAYO-353.html
Ciobanesc Romanesc Carpatin	CB327	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=344	Ciobanesc Romanesc Carpatin|Ciobânesc Românesc Carpatin|Romanian Shepherd|Romanian Carpathian Shepherd|Câine Ciobânesc Carpatin|Carpathian Sheepdog|Carpathian Shepherd|Carpatin|Romanian Carpatin Herder|obsolete: Rumanian Carpathian	Romania			https://www.ukcdogs.com/romanian-carpathian-shepherd-dog	http://www.fci.be/en/nomenclature/ROMANIAN-CARPATHIAN-SHEPHERD-DOG-350.html
