Breed	iDog_ID	iDog_Ref	Alt_Names	Country_of_Origin	AKC	CKC	UKC	FCI
Deutscher Wachtelhund	CB87	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=87	Deutscher Wachtelhund|German Spaniel|Deutscher Wachtel|German Quail Dog	Germany	http://akc.org/dog-breeds/deutscher-wachtelhund		https://www.ukcdogs.com/deutscher-wachtelhund	http://www.fci.be/en/nomenclature/GERMAN-SPANIEL-104.html
Doberman Pinscher	CB88	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=88	Dobie|Dobynm|Doberman	Germany	http://akc.org/dog-breeds/doberman-pinscher	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Doberman-Pinscher	https://www.ukcdogs.com/doberman-pinscher	http://www.fci.be/en/nomenclature/DOBERMANN-143.html
Dogo Argentino	CB89	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=89	Dogo|Argentine Dogo|Argentine Mastiff	Argentina	http://akc.org/dog-breeds/dogo-argentino		https://www.ukcdogs.com/dogo-argentino	http://www.fci.be/en/nomenclature/DOGO-ARGENTINO-292.html
Dogue de Bordeaux	CB90	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=90	Dogue de Bordeaux|Bordeaux Mastiff|French Mastiff|Bordeauxdog	France	http://akc.org/dog-breeds/dogue-de-bordeaux	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Dogue-de-Bordeaux	https://www.ukcdogs.com/dogue-de-bordeaux	http://www.fci.be/en/nomenclature/DOGUE-DE-BORDEAUX-116.html
Drentsche Patrijshond	CB91	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=91	Drentsche Patrijshond|Dutch Partridge Dog|Drentsche Patrijshond|Drent	Netherlands	http://akc.org/dog-breeds/drentsche-patrijshond		https://www.ukcdogs.com/drentsche-patrijshond	http://www.fci.be/en/nomenclature/DRENTSCHE-PARTRIDGE-DOG-224.html
Drever	CB92	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=92	Drever|Swedish Dachsbracke	Sweden	http://akc.org/dog-breeds/drever	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Drever	https://www.ukcdogs.com/drever	http://www.fci.be/en/nomenclature/DREVER-130.html
Dutch Shepherd	CB93	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=93	Dutch Shepherd|Hollandse Herder	Netherlands	http://akc.org/dog-breeds/dutch-shepherd		https://www.ukcdogs.com/dutch-shepherd	http://www.fci.be/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html
English Cocker Spaniel	CB94	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=94	Cocker|Cocker Spanie|Cocker Spaniel	United Kingdom (England)	http://akc.org/dog-breeds/english-cocker-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Spaniel-English-Cocker	https://www.ukcdogs.com/english-cocker-spaniel	http://www.fci.be/en/nomenclature/ENGLISH-COCKER-SPANIEL-5.html
English Foxhound	CB95	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=95	English Foxhound|Foxhound	United Kingdom (England)	http://akc.org/dog-breeds/english-foxhound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Foxhound-English	https://www.ukcdogs.com/english-foxhound	http://www.fci.be/en/nomenclature/ENGLISH-FOXHOUND-159.html
English Setter	CB96	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=96	English Setter|Lawerack|Laverack|Llewellin (or Llewellyn) Setter	United Kingdom (England)	http://akc.org/dog-breeds/english-setter	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Setter-English	https://www.ukcdogs.com/english-setter	http://www.fci.be/en/nomenclature/ENGLISH-SETTER-2.html
English Springer Spaniel	CB97	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=97	English Springer Spaniel|Springer Spaniel	United Kingdom (England)	http://akc.org/dog-breeds/english-springer-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Spaniel-English-Springer	https://www.ukcdogs.com/english-springer-spaniel	http://www.fci.be/en/nomenclature/ENGLISH-SPRINGER-SPANIEL-125.html
English Toy Spaniel	CB98	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=98	English Toy Spaniel|King Charles Spaniel|Toy Spaniel|Charlies|Prince Charles Spaniel|Ruby Spaniel|Blenheim Spaniel	England	http://akc.org/dog-breeds/english-toy-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/English-Toy-Spaniel	https://www.ukcdogs.com/english-toy-spaniel	http://www.fci.be/en/nomenclature/KING-CHARLES-SPANIEL-128.html
Entlebucher Mountain Dog	CB99	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=99	Entlebucher Mountain Dog|Entlebucher Sennenhund|Entelbucher Cattle Dog|Entlebucher	Switzerland	http://akc.org/dog-breeds/entlebucher-mountain-dog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Entlebucher-Mountain-Dog	https://www.ukcdogs.com/entlebucher	
Estrela Mountain Dog	CB100	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=100	Estrela|Portuguese Shepherd|Cao da Serra da Estrela	Portugal	http://akc.org/dog-breeds/estrela-mountain-dog		https://www.ukcdogs.com/estrela-mountain-dog	http://www.fci.be/en/nomenclature/ESTRELA-MOUNTAIN-DOG-173.html
Eurasier	CB101	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=101	Eurasier|Eurasian|Eurasian Dog	Germany	http://akc.org/dog-breeds/eurasier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Eurasier	https://www.ukcdogs.com/eurasier	http://www.fci.be/en/nomenclature/EURASIAN-291.html
Field Spaniel	CB102	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=102	Field|Field Spaniel	United Kingdom (England)	http://akc.org/dog-breeds/field-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Spaniel-Field	https://www.ukcdogs.com/field-spaniel	http://www.fci.be/en/nomenclature/FIELD-SPANIEL-123.html
Finnish Lapphund	CB103	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=103	Finnish Lapphund|Finnish Lapponian Dog|Lapinkoira|Suomenlapinkoira	Finland	http://akc.org/dog-breeds/finnish-lapphund	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Finnish-Lapphund	https://www.ukcdogs.com/finnish-lapphung	http://www.fci.be/en/nomenclature/FINNISH-LAPPHUND-189.html
Finnish Spitz	CB104	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=104	Finnish Spitz|Finnish Hunting Dog|Finnish Spets|Finsk Spets|Loulou Finois|Suomalainen pystykorva|Suomenpystykorva	Finland	http://akc.org/dog-breeds/finnish-spitz	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Finnish-Spitz	https://www.ukcdogs.com/finnish-spitz	http://www.fci.be/en/nomenclature/FINNISH-SPITZ-49.html
Flat-Coated Retriever	CB105	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=105	Flatcoat|Flattie|Flatte (Sweden)|flatt (Sweden)|Flat-Coated Retriever	United Kingdom	http://akc.org/dog-breeds/flat-coated-retriever	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Retriever-Flat-coated	https://www.ukcdogs.com/flat-coated-retriever	http://www.fci.be/en/nomenclature/FLAT-COATED-RETRIEVER-121.html
French Bulldog	CB106	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=106	Frenchie|Bouledogue Francais	United Kingdom (England), France	http://akc.org/dog-breeds/french-bulldog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/French-Bulldog	https://www.ukcdogs.com/french-bulldog	http://www.fci.be/en/nomenclature/FRENCH-BULLDOG-101.html
French Spaniel	CB107	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=107	French Spaniel|Epagneul Francais|French Setter|Canadian Setter	France	http://akc.org/dog-breeds/french-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Spaniel-French	https://www.ukcdogs.com/epagneul-francais-french-spaniel	http://www.fci.be/en/nomenclature/FRENCH-SPANIEL-175.html
German Longhaired Pointer	CB108	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=108	GLP|Deutscher Langhaariger|Deutscher Langhaariger Vorstehhund|Pointer (German Longhaired)|Langhaar	Germany	http://akc.org/dog-breeds/german-longhaired-pointer	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Pointer-German-Long-haired	https://www.ukcdogs.com/german-long-haired-pointer	http://www.fci.be/en/nomenclature/DEUTSCH-LANGHAAR-117.html
German Pinscher	CB109	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=109	German Pinscher|Deutscher Pinscher	Germany	http://akc.org/dog-breeds/german-pinscher	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/German-Pinscher	https://www.ukcdogs.com/german-pinscher	http://www.fci.be/en/nomenclature/GERMAN-PINSCHER-184.html
German Shepherd Dog	CB110	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=110	Alsatian|Deutscher Schaferhund|DSH|GSD|Shepherd|Schaferhund|Alsatian wolf dog|Berger Allemand|Deutscher Schaferhund|Schaferhund	Germany	http://akc.org/dog-breeds/german-shepherd-dog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/German-Shepherd-Dog	https://www.ukcdogs.com/german-shepher	http://www.fci.be/en/nomenclature/GERMAN-SHEPHERD-DOG-166.html
German Shorthaired Pointer	CB111	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=111	GSP|DK|Deutscher kurzhaariger Vorstehhund|Deutsch Kurzhaar|Kurzhaar	Germany	http://akc.org/dog-breeds/german-shorthaired-pointer	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Pointer-German-Short-haired	https://www.ukcdogs.com/german-shorthaired-pointer	http://www.fci.be/en/nomenclature/GERMAN-SHORT-HAIRED-POINTING-DOG-119.html
German Spitz	CB112	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=112	German Spitz|Deutscher Spitz	Germany	http://akc.org/dog-breeds/german-spitz		https://www.ukcdogs.com/german-spitz	http://www.fci.be/en/nomenclature/GERMAN-SPITZ-97.html
German Wirehaired Pointer	CB113	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=113	German Wirehaired Pointer|Deutsch Drahthaar|Deutscher Drahthaariger Vorstehhund|Drahthaar	Germany	http://akc.org/dog-breeds/german-wirehaired-pointer	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Pointer-German-Wire-haired	https://www.ukcdogs.com/german-wirehaired-pointer	http://www.fci.be/en/nomenclature/GERMAN-WIRE-HAIRED-POINTING-DOG-98.html
Giant Schnauzer	CB114	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=114	Giant Schnauzer|Munich Schnauzer|Munchener|Russian Bear Schnauzer	Germany	http://akc.org/dog-breeds/giant-schnauzer	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Schnauzer-Giant	https://www.ukcdogs.com/giant-schnauzer	http://www.fci.be/en/nomenclature/GIANT-SCHNAUZER-181.html
Glen of Imaal Terrier	CB115	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=115	Glen|Glennie|Irish Glen of Imaal Terrier|Wicklow Terrier	Ireland	http://akc.org/dog-breeds/glen-of-imaal-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Glen-of-Imaal-Terrier	https://www.ukcdogs.com/glen-of-imaal-terrier	http://www.fci.be/en/nomenclature/IRISH-GLEN-OF-IMAAL-TERRIER-302.html
Golden Retriever	CB116	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=116	Golden Retriever|Golden Retriever	United Kingdom (Scotland)	http://akc.org/dog-breeds/golden-retriever	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Retriever-Golden	https://www.ukcdogs.com/golden-retriever	http://www.fci.be/en/nomenclature/GOLDEN-RETRIEVER-111.html
Gordon Setter	CB117	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=117	Gordon Setter|Gordon Setter	United Kingdom (Scotland)	http://akc.org/dog-breeds/gordon-setter	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Setter-Gordon	https://www.ukcdogs.com/gordon-setter	http://www.fci.be/en/nomenclature/GORDON-SETTER-6.html
Grand Basset Griffon Vendeen	CB118	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=118	GBGV|Basset Griffon Vendeen (Grand)|GBGV	France	http://akc.org/dog-breeds/grand-basset-griffon-vendeen		https://www.ukcdogs.com/grand-basset-griffon-vendeen	http://www.fci.be/en/nomenclature/GRAND-BASSET-GRIFFON-VENDEEN-33.html
Great Dane	CB119	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=119	Apollo of Dogs|Gentle Giant|Deutsche Dogge|German Mastiff	Germany	http://akc.org/dog-breeds/great-dane	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Great-Dane	https://www.ukcdogs.com/great-dane	http://www.fci.be/en/nomenclature/GREAT-DANE-235.html
Great Pyrenees	CB120	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=120	Pyr|GP|PMD|Pyrenean Mountain Dog|Patou|Montanes del Pirineo|Perro de Montana de los Pirineos|Can de Montana de os Perines|Chien des Pyrenees|Chien de Montagne des Pyrénées	France, Spain	http://akc.org/dog-breeds/great-pyrenees	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Great-Pyrenees	https://www.ukcdogs.com/great-pyrenees	http://www.fci.be/en/nomenclature/PYRENEAN-MOUNTAIN-DOG-137.html
Greater Swiss Mountain Dog	CB121	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=121	Greater Swiss Mountain Dog|Greater Swiss Mountain Dog	Switzerland	http://akc.org/dog-breeds/greater-swiss-mountain-dog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Greater-Swiss-Mountain-Dog	https://www.ukcdogs.com/greater-swiss-mountain-dog	http://www.fci.be/en/nomenclature/GREAT-SWISS-MOUNTAIN-DOG-58.html
Greyhound	CB122	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=122	Greyhound|English Greyhound	United Kingdom, Middle East	http://akc.org/dog-breeds/greyhound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Greyhound	https://www.ukcdogs.com/greyhound	http://www.fci.be/en/nomenclature/GREYHOUND-158.html
Hamiltonstovare	CB123	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=123	Hamilton|Hamilton Hound|Swedish Foxhound	Sweden	http://akc.org/dog-breeds/hamiltonstovare		https://www.ukcdogs.com/hamiltonstovare-hamilton-hound	http://www.fci.be/en/nomenclature/HAMILTONSTOVARE-132.html
Harrier	CB124	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=124	Harrier|Harrier	United Kingdom	http://akc.org/dog-breeds/harrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Harrier	https://www.ukcdogs.com/harrier	http://www.fci.be/en/nomenclature/HARRIER-295.html
Havanese	CB125	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=125	Havanese|Havanese Cuban Bichon|Bichon Havanes|Havaneser|Havanezer|Bichon Habanero	Cuba	http://akc.org/dog-breeds/havanese	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Havanese	https://www.ukcdogs.com/havanese	http://www.fci.be/en/nomenclature/HAVANESE-250.html
Hokkaido	CB126	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=126	Ainu dog|Do-ken|Ainu-ken|Seta	Japan	http://akc.org/dog-breeds/hokkaido		https://www.ukcdogs.com/hokkaido-ainu	http://www.fci.be/en/nomenclature/HOKKAIDO-261.html
Hovawart	CB127	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=127	Hovie|Hovawart	Germany	http://akc.org/dog-breeds/hovawart	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Hovawart	https://www.ukcdogs.com/hovawart	http://www.fci.be/en/nomenclature/HOVAWART-190.html
Ibizan Hound	CB128	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=128	Ibizan Hound|Ibizan Hound|Ibizan Warren Hound|podenco ibicenco	Spain	http://akc.org/dog-breeds/ibizan-hound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Ibizan-Hound	https://www.ukcdogs.com/ibizan-hound	http://www.fci.be/en/nomenclature/IBIZAN-PODENCO-89.html
Icelandic Sheepdog	CB129	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=129	Icelandic Sheepdog|Icelandic Spitz|Iceland Dog|íslenskur fjarhundur|Islandsk Farehund|Friaar Dog|Canis Islandicu	Iceland	http://akc.org/dog-breeds/icelandic-sheepdog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Iceland-Sheepdog	https://www.ukcdogs.com/icelandic-sheepdog	http://www.fci.be/en/nomenclature/ICELANDIC-SHEEPDOG-289.html
Irish Red and White Setter	CB130	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=130	IRWS|Irish R&W Setter|Irish Red and White Setter	Ireland	http://akc.org/dog-breeds/irish-red-and-white-setter	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Setter-Irish-Red-and-White	https://www.ukcdogs.com/irish-red-and-white-setter	http://www.fci.be/en/nomenclature/IRISH-RED-AND-WHITE-SETTER-330.html
Irish Setter	CB131	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=131	Irish Setter|Red Setter|Irish Red Setter	Ireland	http://akc.org/dog-breeds/irish-setter	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Setter-Irish	https://www.ukcdogs.com/irish-setter	http://www.fci.be/en/nomenclature/IRISH-RED-SETTER-120.html
Irish Terrier	CB132	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=132	Irish Terrier|Irish Red Terrier	Ireland	http://akc.org/dog-breeds/irish-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Irish-Terrier	https://www.ukcdogs.com/irish-terrier	http://www.fci.be/en/nomenclature/IRISH-TERRIER-139.html
Irish Water Spaniel	CB133	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=133	Irish Water Spaniel|Whiptail|Shannon Spaniel|Rat Tail Spaniel|Bog Dog	Ireland	http://akc.org/dog-breeds/irish-water-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Spaniel-Irish-Water	https://www.ukcdogs.com/irish-water-spaniel	http://www.fci.be/en/nomenclature/IRISH-WATER-SPANIEL-124.html
Irish Wolfhound	CB134	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=134	Irish Wolfhound|Cu/Cu Faoil	Ireland	http://akc.org/dog-breeds/irish-wolfhound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Irish-Wolfhound	https://www.ukcdogs.com/irish-wolfhound	http://www.fci.be/en/nomenclature/IRISH-WOLFHOUND-160.html
Italian Greyhound	CB135	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=135	Italian Greyhound|Italian: Piccolo Levriero Italiano|French: Levrette d'Italie|German: Italienisches Windspiel|Spanish: Galgo italiano	Italy	http://akc.org/dog-breeds/italian-greyhound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Italian-Greyhound	https://www.ukcdogs.com/italian-greyhound	http://www.fci.be/en/nomenclature/ITALIAN-GREYHOUND-200.html
Jagdterrier	CB136	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=136	Jagdterrier|Deutscher Jagdterrier|German Jagdterrier|German Hunting Terrier|German Hunt Terrier	Germany	http://akc.org/dog-breeds/jagdterrier		https://www.ukcdogs.com/jagdterrier	http://www.fci.be/en/nomenclature/GERMAN-HUNTING-TERRIER-103.html
Japanese Chin	CB137	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=137	Chin|Japanese Spaniel	Japan	http://akc.org/dog-breeds/japanese-chin	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Japanese-Spaniel	https://www.ukcdogs.com/japanese-chin	http://www.fci.be/en/nomenclature/JAPANESE-CHIN-206.html
Jindo	CB138	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=138	Jindo|Korean Jindo|Chindo|Jindo Gae|JindoGae|Jin dog|Korea Jindo Dog	South Korea	http://akc.org/dog-breeds/jindo		https://www.ukcdogs.com/jindo	http://www.fci.be/en/nomenclature/KOREA-JINDO-DOG-334.html
Kai Ken	CB139	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=139	Tora Dog|Kai	Japan	http://akc.org/dog-breeds/kai-ken		https://www.ukcdogs.com/kai	http://www.fci.be/en/nomenclature/KAI-317.html
Karelian Bear Dog	CB140	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=140	Karelian Bear Dog|Karjalankarhukoira|Karelsk Bjornhund	Finland	http://akc.org/dog-breeds/karelian-bear-dog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Karelian-Bear-Dog	https://www.ukcdogs.com/karelian-bear-dog	http://www.fci.be/en/nomenclature/KARELIAN-BEAR-DOG-48.html
Keeshond	CB141	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=141	Keeshond|Dutch Barge Dog|Smiling Dutchman|German Spitz|Deutscher Wolfspitz|Wolfspitz	Netherlands, Germany	http://akc.org/dog-breeds/keeshond	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/Keeshond	https://www.ukcdogs.com/keeshond	
Kerry Blue Terrier	CB142	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=142	Kerry|Irish Blue Terrier	Ireland	http://akc.org/dog-breeds/kerry-blue-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Kerry-Blue-Terrier	https://www.ukcdogs.com/kerry-blue-terrier	http://www.fci.be/en/nomenclature/KERRY-BLUE-TERRIER-3.html
Kishu Ken	CB143	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=143	Kishu Ken|Kishu-Ken|Kishu-Inu	Japan	http://akc.org/dog-breeds/kishu-ken		https://www.ukcdogs.com/kishu	http://www.fci.be/en/nomenclature/KISHU-318.html
Komondor	CB144	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=144	Komondor|Hungarian Komondor|Hungarian Sheepdog|Mop Dog	Hungary	http://akc.org/dog-breeds/komondor	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Komondor	https://www.ukcdogs.com/komondor	http://www.fci.be/en/nomenclature/KOMONDOR-53.html
Kromfohrlander	CB145	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=145	Lander|Kromi|Kromfohrlander	Germany	http://akc.org/dog-breeds/kromfohrlander		https://www.ukcdogs.com/kromfohrlander	http://www.fci.be/en/nomenclature/KROMFOHRLANDER-192.html
Kuvasz	CB146	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=146	Kuvasz|Hungarian Kuvasz	Hungary	http://akc.org/dog-breeds/kuvasz	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Kuvasz	https://www.ukcdogs.com/kuvasz	http://www.fci.be/en/nomenclature/KUVASZ-54.html
Labrador Retriever	CB147	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=147	Lab|Labrador	Canada, United Kingdom (England)	http://akc.org/dog-breeds/labrador-retriever	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Retriever-Labrador	https://www.ukcdogs.com/labrador-retriever	http://www.fci.be/en/nomenclature/LABRADOR-RETRIEVER-122.html
Lagotto Romagnolo	CB148	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=148	Lagotto|Romagna Water Dog|Water Dog of Romagna	Italy	http://akc.org/dog-breeds/lagotto-romagnolo	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Lagotto-Romagnolo	https://www.ukcdogs.com/lagotto-romangnolo	http://www.fci.be/en/nomenclature/ROMAGNA-WATER-DOG-298.html
Lakeland Terrier	CB149	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=149	Lakeland Terrier|Lakeland Terrier	United Kingdom (England)	http://akc.org/dog-breeds/lakeland-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Lakeland-Terrier	https://www.ukcdogs.com/lakeland-terrier	http://www.fci.be/en/nomenclature/LAKELAND-TERRIER-70.html
Lancashire Heeler	CB150	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=150	Lancashire Heeler|Ormskirk Heeler|Ormskirk Terrier	United Kingdom (England)	http://akc.org/dog-breeds/lancashire-heeler	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Lancashire-Heeler	https://www.ukcdogs.com/lanchashire-heeler	http://www.fci.be/en/nomenclature/LANCASHIRE-HEELER-360.html
Lapponian Herder	CB151	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=151	Lapponian Herder|Lapland Reindeer dog|Reindeer Herder|lapinporokoira (Finnish)|lapsk vallhund (Swedish)	Finland	http://akc.org/dog-breeds/lapponian-herder		https://www.ukcdogs.com/lapinporokoira-lapponian-herder	http://www.fci.be/en/nomenclature/LAPPONIAN-HERDER-284.html
Leonberger	CB152	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=152	Leonberger|Leo|Gentle Lion|Gentle Giant	Germany	http://akc.org/dog-breeds/leonberger	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Leonberger	https://www.ukcdogs.com/leonberger	http://www.fci.be/en/nomenclature/LEONBERGER-145.html
