Breed	Variety	Breed Group (KC)	Import Status (KC)	Source (KC)
Dalmatian		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/dalmatian/
Dandie Dinmont Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/dandie-dinmont-terrier/
Deerhound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/deerhound/
Dobermann		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/dobermann/
Dogue de Bordeaux		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/dogue-de-bordeaux/
English Setter		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/english-setter/
English Toy Terrier	Black & Tan	Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/english-toy-terrier-black-tan/
Entlebucher Mountain Dog		Working	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/entlebucher-mountain-dog-imp/
Estrela Mountain Dog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/estrela-mountain-dog/
Eurasier		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/eurasier/
Finnish Lapphund		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/finnish-lapphund/
Finnish Spitz		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/finnish-spitz/
Fox Terrier	Smooth	Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/fox-terrier-smooth/
Fox Terrier	Wire	Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/fox-terrier-wire/
Foxhound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/foxhound/
French Bulldog		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/french-bulldog/
German Longhaired Pointer		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/german-longhaired-pointer/
German Pinscher		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/german-pinscher/
German Shepherd Dog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/german-shepherd-dog/
German Shorthaired Pointer		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/
German Spitz	Klein	Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/german-spitz-klein/
German Spitz	Mittel	Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/german-spitz-mittel/
German Wirehaired Pointer		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/german-wirehaired-pointer/
Giant Schnauzer		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/giant-schnauzer/
Glen Of Imaal Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/glen-of-imaal-terrier/
Gordon Setter		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/gordon-setter/
Grand Bleu De Gascogne		Hound	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/grand-bleu-de-gascogne-imp/
Great Dane		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/great-dane/
Great Swiss Mountain Dog		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/great-swiss-mountain-dog/
Greenland Dog		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/greenland-dog/
Greyhound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/greyhound/
Griffon Bruxellois		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/griffon-bruxellois/
Griffon Fauve De Bretagne		Hound	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/griffon-fauve-de-bretagne-imp/
Hamiltonstovare		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/hamiltonstovare/
Harrier		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/harrier/
Havanese		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/havanese/
Hovawart		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/hovawart/
Hungarian Kuvasz		Pastoral	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/hungarian-kuvasz-imp/
Hungarian Puli		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/hungarian-puli/
Hungarian Pumi		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/hungarian-pumi/
Hungarian Vizsla		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/hungarian-vizsla/
Hungarian Wirehaired Vizsla		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/hungarian-wirehaired-vizsla/
Ibizan Hound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/ibizan-hound/
Irish Red & White Setter		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/irish-red-white-setter/
Irish Setter		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/irish-setter/
Irish Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/irish-terrier/
Irish Wolfhound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/irish-wolfhound/
Italian Greyhound		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/italian-greyhound/
Italian Spinone		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/italian-spinone/
Jack Russell Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/jack-russell-terrier/
Japanese Akita Inu		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/japanese-akita-inu/
Japanese Chin		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/japanese-chin/
Japanese Shiba Inu		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/japanese-shiba-inu/
Japanese Spitz		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/japanese-spitz/
Keeshond		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/keeshond/
Kerry Blue Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/kerry-blue-terrier/
King Charles Spaniel		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/king-charles-spaniel/
Komondor		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/komondor/
Kooikerhondje		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/kooikerhondje/
Korean Jindo		Utility	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/korean-jindo-imp/
Korthals Griffon		Gundog	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/korthals-griffon-imp/
Lagotto Romagnolo		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/lagotto-romagnolo/
Lakeland Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/lakeland-terrier/
Lancashire Heeler		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/lancashire-heeler/
Large Munsterlander		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/large-munsterlander/
Leonberger		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/leonberger/
Lhasa Apso		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/lhasa-apso/
Lowchen	Little Lion Dog	Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/lowchen-little-lion-dog/
Maltese		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/maltese/
Manchester Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/manchester-terrier/
Maremma Sheepdog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/maremma-sheepdog/
Mastiff		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/mastiff/
Miniature Pinscher		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/miniature-pinscher/
Miniature Schnauzer		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/miniature-schnauzer/
Neapolitan Mastiff		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/neapolitan-mastiff/
Newfoundland		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/newfoundland/
Norfolk Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/norfolk-terrier/
