Breed	Variety	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Kavkazskaïa Ovtcharka		Russian Federation	328	Caucasian Shepherd Dog	https://www.fci.be/en/nomenclature/CAUCASIAN-SHEPHERD-DOG-328.html	Pinscher	Definitive
Sredneasiatskaya Ovtcharka		Russian Federation	335	Central Asia Shepherd Dog	https://www.fci.be/en/nomenclature/CENTRAL-ASIA-SHEPHERD-DOG-335.html	Pinscher	Definitive
Kraski Ovcar		Slovenia	278	Karst Shepherd Dog	https://www.fci.be/en/nomenclature/KARST-SHEPHERD-DOG-278.html	Pinscher	Definitive
Mastín Del Pirineo		Spain	92	Pyrenean Mastiff	https://www.fci.be/en/nomenclature/PYRENEAN-MASTIFF-92.html	Pinscher	Definitive
Mastín Español		Spain	91	Spanish Mastiff	https://www.fci.be/en/nomenclature/SPANISH-MASTIFF-91.html	Pinscher	Definitive
St.Bernhardshund - Bernhardiner	Short-Haired	Switzerland	61	St. Bernard	https://www.fci.be/en/nomenclature/ST-BERNARD-61.html	Pinscher	Definitive
St.Bernhardshund - Bernhardiner	Long-Haired	Switzerland	61	St. Bernard	https://www.fci.be/en/nomenclature/ST-BERNARD-61.html	Pinscher	Definitive
Do-Khyi		Tibet (China)	230	Tibetan Mastiff	https://www.fci.be/en/nomenclature/TIBETAN-MASTIFF-230.html	Pinscher	Definitive
Kangal Çoban Köpegi		Turkey	331	Kangal Shepherd Dog	https://www.fci.be/en/nomenclature/KANGAL-SHEPHERD-DOG-331.html	Pinscher	Definitive
Appenzeller Sennenhund		Switzerland	46	Appenzell Cattle Dog	https://www.fci.be/en/nomenclature/APPENZELL-CATTLE-DOG-46.html	Pinscher	Definitive
Berner Sennenhund		Switzerland	45	Bernese Mountain Dog	https://www.fci.be/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html	Pinscher	Definitive
Entlebucher Sennenhund		Switzerland	47	Entlebuch Cattle Dog	https://www.fci.be/en/nomenclature/ENTLEBUCH-CATTLE-DOG-47.html	Pinscher	Definitive
Grosser Schweizer Sennenhund		Switzerland	58	Great Swiss Mountain Dog	https://www.fci.be/en/nomenclature/GREAT-SWISS-MOUNTAIN-DOG-58.html	Pinscher	Definitive
